,0,CV_mean_MAE,CV_SD_MAE,Model_name
56,7.6567069462367465,20.952682,13.66806,GBM_grid_1_AutoML_112_20230105_180252_model_174
112,6.69945897454662,12.135951,6.5031977,XGBoost_lr_search_selection_AutoML_113_20230105_190042_select_grid_model_7
167,5.062188906762414,8.749503,5.0049205,XGBoost_lr_search_selection_AutoML_114_20230105_195939_select_grid_model_7
