,0,CV_mean_MAE,CV_SD_MAE,Model_name
56,4.424672994230475,23.201967,14.570683,XGBoost_grid_1_AutoML_70_20230105_115042_model_34
112,7.3658672843468,14.08177,9.962,StackedEnsemble_BestOfFamily_4_AutoML_71_20230105_115244
167,6.678292823609656,11.50321,5.105249,GBM_grid_1_AutoML_72_20230105_115448_model_2
