,0,CV_mean_MAE,CV_SD_MAE,Model_name
60,15.650435239511232,22.676111,8.099517,XGBoost_lr_search_selection_AutoML_1_20230107_153602_select_grid_model_3
120,14.356919956612789,19.313776,5.244407,GBM_lr_annealing_selection_AutoML_2_20230107_163342_select_model
180,11.502032161443235,14.618887,3.2567964,XGBoost_grid_1_AutoML_3_20230107_173027_model_217
240,9.112412467675556,15.539439,4.133383,XGBoost_grid_1_AutoML_4_20230107_182745_model_115
296,7.163933415130265,13.839678,4.098299,XGBoost_grid_1_AutoML_5_20230107_192634_model_86
