,0,CV_mean_MAE,CV_SD_MAE,Model_name
60,15.650435239511232,22.676111,8.099517,XGBoost_lr_search_selection_AutoML_11_20230108_11306_select_grid_model_3
120,14.356919956612789,19.313776,5.244407,GBM_lr_annealing_selection_AutoML_12_20230108_21150_select_model
180,11.502032161443235,14.618887,3.2567964,XGBoost_grid_1_AutoML_13_20230108_30829_model_217
240,11.8735581057932,15.590111,3.5846095,XGBoost_lr_search_selection_AutoML_14_20230108_40529_select_grid_model_7
296,12.327057641846267,13.916176,3.9933152,StackedEnsemble_BestOfFamily_6_AutoML_15_20230108_50421
