,0,CV_mean_MAE,CV_SD_MAE,Model_name
60,3.8000376770588162,4.663453,3.793727,DeepLearning_grid_3_AutoML_6_20230110_142755_model_1
120,4.978405907874306,10.439739,6.217147,XGBoost_lr_search_selection_AutoML_7_20230110_152753_select_grid_model_3
180,4.905049897564782,9.036962,3.609492,XGBoost_grid_1_AutoML_8_20230110_162717_model_165
240,5.101029874617234,13.146661,3.8938658,XGBoost_lr_search_selection_AutoML_9_20230110_172707_select_grid_model_7
296,11.935174638240428,13.743039,2.128347,StackedEnsemble_AllModels_5_AutoML_10_20230110_182606
