,0,CV_mean_MAE,CV_SD_MAE,Model_name
60,17.52668758078168,23.110643,7.98805,GBM_grid_1_AutoML_6_20230107_202520_model_207
120,14.356919956612789,19.313776,5.244407,GBM_lr_annealing_selection_AutoML_7_20230107_212159_select_model
180,11.502032161443235,14.618887,3.2567964,XGBoost_grid_1_AutoML_8_20230107_221820_model_217
240,11.8735581057932,15.590111,3.5846095,XGBoost_lr_search_selection_AutoML_9_20230107_231528_select_grid_model_7
296,11.195753802081573,13.586163,3.5325022,StackedEnsemble_BestOfFamily_6_AutoML_10_20230108_01418
