,0,CV_mean_MAE,CV_SD_MAE,Model_name
60,2.3546879415081263,4.521781,3.9519532,DeepLearning_grid_3_AutoML_11_20230110_192508_model_1
120,4.978405907874306,10.439739,6.217147,XGBoost_lr_search_selection_AutoML_12_20230110_202452_select_grid_model_3
180,4.905049897564782,9.036962,3.609492,XGBoost_grid_1_AutoML_13_20230110_212410_model_165
240,5.127331537737821,13.157283,3.8962646,XGBoost_lr_search_selection_AutoML_14_20230110_222410_select_grid_model_7
296,10.640636887565739,13.8932295,3.0088537,XGBoost_lr_search_selection_AutoML_15_20230110_232310_select_grid_model_7
