,0,CV_mean_MAE,CV_SD_MAE,Model_name
60,3.6418774191947154,4.120269,3.5824583,DeepLearning_grid_3_AutoML_1_20230110_93041_model_1
120,4.978405907874306,10.439739,6.217147,XGBoost_lr_search_selection_AutoML_2_20230110_103102_select_grid_model_3
180,3.9735956439770783,9.33529,4.246813,StackedEnsemble_BestOfFamily_7_AutoML_3_20230110_113002
240,5.223692114635681,12.946696,4.532317,XGBoost_grid_1_AutoML_4_20230110_122959_model_111
296,11.642233287762927,13.284813,3.3728266,StackedEnsemble_AllModels_5_AutoML_5_20230110_132856
