,0,CV_mean_MAE,CV_SD_MAE,Model_name
56,2.185165982959526,9.496183,6.5550466,XGBoost_lr_search_selection_AutoML_4_20230105_104312_select_grid_model_4
112,1.930520813646061,9.155035,4.7320514,XGBoost_lr_search_selection_AutoML_5_20230105_104415_select_grid_model_1
167,1.8614199275742034,8.817153,3.8832738,XGBoost_lr_search_selection_AutoML_6_20230105_104517_select_grid_model_3
