,0,CV_mean_MAE,CV_SD_MAE,Model_name
60,0.9815244583723446,13.17745,7.792129,GBM_lr_annealing_selection_AutoML_45_20230111_200535_select_model
120,3.557908097996066,12.405054,6.027591,XGBoost_grid_1_AutoML_46_20230111_210537_model_70
180,4.782807177284526,13.97336,5.0956926,GBM_grid_1_AutoML_47_20230111_220550_model_47
240,3.8735680299665547,13.320591,4.0916166,XGBoost_lr_search_selection_AutoML_48_20230111_230601_select_grid_model_1
296,11.942835267405922,14.525638,3.9725046,StackedEnsemble_BestOfFamily_6_AutoML_49_20230112_00600
