,0,CV_mean_MAE,CV_SD_MAE,Model_name
60,7.652708996216538,13.54311,10.000309,StackedEnsemble_BestOfFamily_6_AutoML_36_20230109_53229
120,9.861704243552905,13.380497,2.7997532,StackedEnsemble_BestOfFamily_6_AutoML_37_20230109_63114
180,4.825061530559065,14.464621,5.1745977,XGBoost_lr_search_selection_AutoML_38_20230109_72909_select_grid_model_7
240,9.420897887133954,15.271096,3.4716694,GBM_grid_1_AutoML_39_20230109_82805_model_12
296,11.50623765276818,14.554929,3.976258,StackedEnsemble_BestOfFamily_6_AutoML_40_20230109_92827
