,0,CV_mean_MAE,CV_SD_MAE,Model_name
60,8.936078270320003,14.167836,7.945735,DeepLearning_grid_2_AutoML_41_20230109_102831_model_6
120,9.819435008338225,15.437185,4.6594048,StackedEnsemble_AllModels_5_AutoML_42_20230109_112651
180,9.666477442094877,14.02396,2.9336677,StackedEnsemble_BestOfFamily_6_AutoML_43_20230109_122616
240,9.733855860263077,13.96473,6.3524656,StackedEnsemble_AllModels_5_AutoML_44_20230109_132541
296,10.727906524211125,14.174829,4.4766617,StackedEnsemble_BestOfFamily_6_AutoML_45_20230109_142536
