,0,CV_mean_MAE,CV_SD_MAE,Model_name
60,0.9815244583723446,13.17745,7.792129,GBM_lr_annealing_selection_AutoML_50_20230112_10604_select_model
120,3.557908097996066,12.405054,6.027591,XGBoost_grid_1_AutoML_51_20230112_20606_model_70
180,10.609239926526135,13.3178625,5.6936073,StackedEnsemble_BestOfFamily_6_AutoML_52_20230112_30607
240,3.8735680299665547,13.320591,4.0916166,XGBoost_lr_search_selection_AutoML_53_20230112_40612_select_grid_model_1
296,12.163060595237548,13.490511,3.5852988,StackedEnsemble_BestOfFamily_6_AutoML_54_20230112_50611
