,0,CV_mean_MAE,CV_SD_MAE,Model_name
60,0.9616234827165803,13.967237,7.9304347,GBM_grid_1_AutoML_36_20230111_150427_model_47
120,3.557908097996066,12.405054,6.027591,XGBoost_grid_1_AutoML_38_20230111_160446_model_70
180,9.846965049202417,12.912445,6.067419,StackedEnsemble_AllModels_5_AutoML_40_20230111_170512
240,3.8735680299665547,13.320591,4.0916166,XGBoost_lr_search_selection_AutoML_42_20230111_180514_select_grid_model_1
296,12.158220636676802,13.813543,3.579216,StackedEnsemble_BestOfFamily_6_AutoML_44_20230111_190532
