,0,CV_mean_MAE,CV_SD_MAE,Model_name
60,10.998287011474037,11.971124,6.9170847,StackedEnsemble_BestOfFamily_6_AutoML_31_20230109_03738
120,8.228433944472037,14.102939,4.469983,StackedEnsemble_BestOfFamily_6_AutoML_32_20230109_13637
180,8.575757551690932,13.517007,5.0376663,StackedEnsemble_AllModels_5_AutoML_33_20230109_23538
240,10.821335837883083,13.315998,4.7326055,StackedEnsemble_BestOfFamily_6_AutoML_34_20230109_33434
296,12.751246629716281,14.25033,3.7589571,StackedEnsemble_BestOfFamily_6_AutoML_35_20230109_43330
