,0,CV_mean_MAE,CV_SD_MAE,Model_name
60,3.130671718964974,18.948034,4.664009,XGBoost_grid_1_AutoML_65_20230403_142111_model_40
120,4.7730667488319645,16.052559,4.15742,XGBoost_grid_1_AutoML_66_20230403_152116_model_70
180,9.703769175771676,15.619384,1.3705889,GBM_lr_annealing_selection_AutoML_67_20230403_162122_select_model
240,9.655580585466426,14.7754545,2.6879034,GBM_lr_annealing_selection_AutoML_68_20230403_172203_select_model
296,9.828614616477893,14.364637,2.2377443,GBM_grid_1_AutoML_69_20230403_182229_model_12
