,0,CV_mean_MAE,CV_SD_MAE,Model_name
60,12.047689886825781,18.920395,5.261365,XGBoost_lr_search_selection_AutoML_6_20230405_21757_select_grid_model_2
120,11.288670984139701,18.461391,4.307028,StackedEnsemble_AllModels_5_AutoML_7_20230405_31653
180,12.813252154262996,17.952826,5.95658,XGBoost_grid_1_AutoML_8_20230405_41405_model_194
240,11.742045579543957,16.280779,2.1097581,StackedEnsemble_BestOfFamily_5_AutoML_9_20230405_51013
296,9.838818481608099,13.283448,3.2346287,XGBoost_lr_search_selection_AutoML_10_20230405_60740_select_grid_model_7
