,0,CV_mean_MAE,CV_SD_MAE,Model_name
60,6.699538000779425,21.628948,6.4278045,DeepLearning_grid_2_AutoML_11_20230405_70611_model_60
120,7.463574514710081,17.809277,5.774983,DeepLearning_grid_3_AutoML_12_20230405_80230_model_26
180,9.148546622859108,13.468866,4.1129208,XGBoost_lr_search_selection_AutoML_13_20230405_85851_select_grid_model_7
240,7.7271947463052735,14.337762,2.8059788,XGBoost_lr_search_selection_AutoML_14_20230405_95344_select_grid_model_8
296,11.8222765748087,14.479566,2.0447264,StackedEnsemble_AllModels_5_AutoML_15_20230405_105102
