,0,CV_mean_MAE,CV_SD_MAE,Model_name
60,16.921996662694486,20.91541,9.97183,StackedEnsemble_BestOfFamily_6_AutoML_70_20230403_192254
120,14.024059079738626,19.719122,3.8577316,StackedEnsemble_AllModels_5_AutoML_71_20230403_202255
180,12.108022261618853,16.81482,4.2433476,StackedEnsemble_AllModels_5_AutoML_72_20230403_212318
240,11.1896230281806,16.515572,4.227974,GBM_grid_1_AutoML_73_20230403_222317_model_12
296,10.034715537171389,14.450401,3.0627081,GBM_lr_annealing_selection_AutoML_74_20230403_232355_select_model
