,0,CV_mean_MAE,CV_SD_MAE,Model_name
56,5.056537479162216,14.440454,8.924766,GBM_lr_annealing_selection_AutoML_1_20230113_155929_select_model
112,6.409456216331039,10.93201,5.968863,XGBoost_grid_1_AutoML_2_20230113_165812_model_213
167,5.698089637442263,9.558352,6.966326,XGBoost_lr_search_selection_AutoML_3_20230113_175646_select_grid_model_7
