,0,CV_mean_MAE,CV_SD_MAE,Model_name
60,15.855477188465496,23.374582,9.093058,GBM_grid_1_AutoML_37_20230105_111328_model_12
120,17.265601680336598,19.557646,5.1188836,GBM_grid_1_AutoML_39_20230105_111429_model_5
180,12.561805630331703,16.003365,3.1059122,GBM_grid_1_AutoML_41_20230105_111532_model_2
240,11.30824834141046,15.957364,3.511377,GBM_grid_1_AutoML_43_20230105_111633_model_12
296,10.048069618982924,14.214751,4.1713176,GBM_grid_1_AutoML_45_20230105_111735_model_12
