,0,CV_mean_MAE,CV_SD_MAE,Model_name
60,1.4774515010416507,15.139791,9.056884,GBM_grid_1_AutoML_55_20230112_60636_model_47
120,9.076322775163378,15.458745,5.030889,GBM_lr_annealing_selection_AutoML_56_20230112_70642_select_model
180,10.141072656586767,15.335475,3.3017182,GBM_lr_annealing_selection_AutoML_57_20230112_80645_select_model
240,9.122344220849724,13.937944,3.767874,GBM_grid_1_AutoML_58_20230112_90648_model_12
296,9.828614616477893,14.15236,3.4236696,GBM_grid_1_AutoML_59_20230112_100700_model_12
