,index,Line_name,Amt_norm,Genotyped
101,104,yp51_C11,0,Fully - (Promoters and enzyme homologs)
102,106,yp51_D10,0,Fully - (Promoters and enzyme homologs)
103,107,yp51_C10,0,Fully - (Promoters and enzyme homologs)
104,108,yp51_A10,0,Fully - (Promoters and enzyme homologs)
105,110,yp49_H01,0,Fully - (Promoters and enzyme homologs)
106,111,yp51_E08,0,Fully - (Promoters and enzyme homologs)
107,112,yp51_D08,0,Fully - (Promoters and enzyme homologs)
108,113,yp49_A02,0,Fully - (Promoters and enzyme homologs)
109,114,yp49_B02,0,Fully - (Promoters and enzyme homologs)
110,115,yp51_D07,0,Fully - (Promoters and enzyme homologs)
111,116,yp51_C07,0,Fully - (Promoters and enzyme homologs)
112,109,yp51_D09,0,Fully - (Promoters and enzyme homologs)
113,183,yp49_B07,0,Partially - (only enzyme homologs)
114,94,yp49_F02,0,Fully - (Promoters and enzyme homologs)
115,154,yp50_A10,0,Fully - (Promoters and enzyme homologs)
116,144,yp50_E02,0,Fully - (Promoters and enzyme homologs)
117,145,yp49_A07,0,Fully - (Promoters and enzyme homologs)
118,146,yp50_B12,0,Fully - (Promoters and enzyme homologs)
119,147,yp49_D05,0,Fully - (Promoters and enzyme homologs)
120,148,yp49_E05,0,Fully - (Promoters and enzyme homologs)
121,149,yp50_D11,0,Fully - (Promoters and enzyme homologs)
122,150,yp49_G05,0,Fully - (Promoters and enzyme homologs)
123,151,yp49_H05,0,Fully - (Promoters and enzyme homologs)
124,152,yp49_B06,0,Fully - (Promoters and enzyme homologs)
125,153,yp49_F06,0,Fully - (Promoters and enzyme homologs)
126,155,yp50_F08,0,Fully - (Promoters and enzyme homologs)
127,142,yp50_G06,0,Fully - (Promoters and enzyme homologs)
128,156,yp50_B07,0,Fully - (Promoters and enzyme homologs)
129,157,yp49_E07,0,Fully - (Promoters and enzyme homologs)
130,158,yp49_F07,0,Fully - (Promoters and enzyme homologs)
131,159,yp49_A08,0,Fully - (Promoters and enzyme homologs)
132,160,yp50_B08,0,Fully - (Promoters and enzyme homologs)
133,161,yp49_A09,0,Fully - (Promoters and enzyme homologs)
134,162,yp50_G07,0,Fully - (Promoters and enzyme homologs)
