,0,CV_mean_MAE,CV_SD_MAE,Model_name
56,0.08038891000407082,12.748639,10.323746,XGBoost_grid_1_AutoML_42_20230105_111630_model_8
112,6.682069778508906,12.528661,8.470898,GBM_grid_1_AutoML_44_20230105_111733_model_2
167,5.482880766217772,11.620579,5.6292853,StackedEnsemble_AllModels_2_AutoML_46_20230105_111836
