,0,CV_mean_MAE,CV_SD_MAE,Model_name
56,0.08038891000407082,12.748639,10.323746,XGBoost_grid_1_AutoML_62_20230112_105011_model_8
112,6.682069778508906,12.528661,8.470898,GBM_grid_1_AutoML_64_20230112_115058_model_2
167,5.328702586228976,11.364873,5.26262,GBM_grid_1_AutoML_66_20230112_125207_model_12
