,0,CV_mean_MAE,CV_SD_MAE,Model_name
56,10.02368291671574,14.959974,3.6179872,StackedEnsemble_AllModels_5_AutoML_7_20230329_193653
112,1.244772806090103,10.388973,4.04751,GBM_grid_1_AutoML_8_20230329_203654_model_300
167,1.0896784372315436,8.359665,1.7953466,XGBoost_grid_1_AutoML_9_20230329_213702_model_98
