,G8H,pG8H,pCPR,CPR,Predicted_stric_production
110,Rsep,ENO2,URE2,Clo,36.01689036354171
111,Rsep,ENO2,URE2,Cpo,36.01689036354171
112,Rsep,ENO2,URE2,Oeu,36.01689036354171
113,Rsep,ENO2,URE2,Rse,36.01689036354171
114,Rsep,ENO2,URE2,Ahu,36.01689036354171
115,Rsep,ENO2,URE2,Cro,36.01689036354171
116,Rsep,ENO2,URE2,Aan,36.01689036354171
117,Rsep,ENO2,URE2,Ara,36.01689036354171
118,Vmin,CYC1,CCW12,Cro,35.96230555654291
119,Vmin,CYC1,CCW12,Clo,35.96230555654291
120,Vmin,CYC1,CCW12,Ahu,35.96230555654291
121,Vmin,CYC1,CCW12,Ani,35.96230555654291
122,Vmin,CYC1,CCW12,Cac,35.96230555654291
123,Vmin,CYC1,CCW12,Oeu,35.96230555654291
124,Vmin,CYC1,CCW12,Cpo,35.96230555654291
125,Vmin,CYC1,CCW12,Ara,35.96230555654291
126,Vmin,CYC1,CCW12,Aan,35.96230555654291
127,Cro,CYC1,TPI1,Oeu,34.845284755639085
128,Cro,CYC1,TPI1,Cpo,34.845284755639085
129,Cro,CYC1,TPI1,Aan,34.845284755639085
130,Cro,CYC1,TPI1,Ara,34.845284755639085
131,Cro,CYC1,TPI1,Clo,34.845284755639085
132,Cro,CYC1,TPI1,Rse,34.845284755639085
133,Cro,CYC1,TPI1,Ahu,34.845284755639085
134,Cro,CYC1,TPI1,Ani,34.845284755639085
135,Oeu,CYC1,CCW12,Cro,33.3792095702103
136,Oeu,CYC1,CCW12,Ara,33.3792095702103
137,Oeu,CYC1,CCW12,Clo,33.3792095702103
138,Oeu,CYC1,CCW12,Cac,33.3792095702103
139,Oeu,CYC1,CCW12,Oeu,33.3792095702103
140,Oeu,CYC1,CCW12,Cpo,33.3792095702103
141,Oeu,CYC1,CCW12,Ani,33.3792095702103
142,Oeu,CYC1,CCW12,Ahu,33.3792095702103
143,Oeu,CYC1,CCW12,Rse,33.3792095702103
144,Smus,ENO2,MLS1,Cac,33.31647597776048
145,Smus,ENO2,MLS1,Ahu,33.31647597776048
146,Smus,ENO2,MLS1,Cpo,33.31647597776048
147,Smus,ENO2,MLS1,Oeu,33.31647597776048
148,Smus,ENO2,MLS1,Ani,33.31647597776048
149,Smus,ENO2,MLS1,Cro,33.31647597776048
150,Smus,ENO2,MLS1,Aan,33.31647597776048
151,Smus,ENO2,MLS1,Ara,33.31647597776048
152,Smus,ENO2,MLS1,Clo,33.31647597776048
153,Smus,ENO2,MLS1,Rse,33.31647597776048
154,Opum,ENO2,CCW12,Cac,32.23812657101165
155,Opum,ENO2,CCW12,Ara,32.23812657101165
156,Opum,ENO2,CCW12,Clo,32.23812657101165
157,Opum,ENO2,CCW12,Rse,32.23812657101165
158,Opum,ENO2,CCW12,Ahu,32.23812657101165
159,Opum,ENO2,CCW12,Ani,32.23812657101165
160,Opum,ENO2,CCW12,Oeu,32.23812657101165
161,Opum,ENO2,CCW12,Cpo,32.23812657101165
162,Cro,ENO2,CCW12,Ara,32.15344303490297
163,Cro,ENO2,CCW12,Aan,32.15344303490297
164,Cro,ENO2,CCW12,Ani,32.15344303490297
165,Cro,ENO2,CCW12,Cac,32.15344303490297
166,Cro,ENO2,CCW12,Oeu,32.15344303490297
167,Cro,ENO2,CCW12,Cpo,32.15344303490297
168,Cro,ENO2,CCW12,Clo,32.15344303490297
169,Cro,ENO2,CCW12,Rse,32.15344303490297
170,Cro,ENO2,CCW12,Ahu,32.15344303490297
171,Cro,ENO2,CCW12,Cro,32.15344303490297
172,Oeu,ENO2,URE2,Oeu,30.423513804053066
173,Oeu,ENO2,URE2,Cpo,30.423513804053066
174,Oeu,ENO2,URE2,Cac,30.423513804053066
175,Oeu,ENO2,URE2,Ahu,30.423513804053066
176,Oeu,ENO2,URE2,Ara,30.423513804053066
177,Oeu,ENO2,URE2,Aan,30.423513804053066
178,Oeu,ENO2,URE2,Cro,30.423513804053066
179,Oeu,ENO2,URE2,Rse,30.423513804053066
180,Oeu,ENO2,URE2,Clo,30.423513804053066
181,Oeu,ENO2,URE2,Ani,30.423513804053066
182,Oeu,ENO2,MLS1,Aan,29.048463065224595
183,Oeu,ENO2,MLS1,Ara,29.048463065224595
184,Oeu,ENO2,MLS1,Clo,29.048463065224595
185,Oeu,ENO2,MLS1,Ahu,29.048463065224595
186,Oeu,ENO2,MLS1,Ani,29.048463065224595
187,Oeu,ENO2,MLS1,Cac,29.048463065224595
188,Oeu,ENO2,MLS1,Oeu,29.048463065224595
189,Oeu,ENO2,MLS1,Cpo,29.048463065224595
190,Oeu,ENO2,MLS1,Cro,29.048463065224595
191,Oeu,ENO2,MLS1,Rse,29.048463065224595
192,Rsep,ENO2,MLS1,Cro,28.309411426925884
193,Rsep,ENO2,MLS1,Ani,28.309411426925884
194,Rsep,ENO2,MLS1,Oeu,28.309411426925884
195,Rsep,ENO2,MLS1,Cpo,28.309411426925884
196,Rsep,ENO2,MLS1,Cac,28.309411426925884
197,Rsep,ENO2,MLS1,Aan,28.309411426925884
198,Rsep,ENO2,MLS1,Ahu,28.309411426925884
199,Rsep,ENO2,MLS1,Rse,28.309411426925884
200,Rsep,ENO2,MLS1,Clo,28.309411426925884
201,Rsep,ENO2,MLS1,Ara,28.309411426925884
202,Ccal,ENO2,CCW12,Ara,27.24942036263649
203,Ccal,ENO2,CCW12,Rse,27.24942036263649
204,Ccal,ENO2,CCW12,Ahu,27.24942036263649
205,Ccal,ENO2,CCW12,Ani,27.24942036263649
206,Ccal,ENO2,CCW12,Cac,27.24942036263649
207,Ccal,ENO2,CCW12,Oeu,27.24942036263649
208,Ccal,ENO2,CCW12,Cpo,27.24942036263649
209,Ccal,ENO2,CCW12,Aan,27.24942036263649
210,Ccal,ENO2,CCW12,Cro,27.24942036263649
211,Ccal,ENO2,CCW12,Clo,27.24942036263649
212,Cro,CYC1,CCW12,Ara,24.90695700258988
213,Cro,CYC1,CCW12,Aan,24.90695700258988
214,Cro,CYC1,CCW12,Cro,24.90695700258988
215,Cro,CYC1,CCW12,Cac,24.90695700258988
216,Cro,CYC1,CCW12,Clo,24.90695700258988
217,Cro,CYC1,CCW12,Rse,24.90695700258988
218,Cro,CYC1,CCW12,Ahu,24.90695700258988
219,Cro,CYC1,CCW12,Ani,24.90695700258988
220,Cro,CYC1,CCW12,Cpo,24.90695700258988
221,Cro,CYC1,CCW12,Oeu,24.90695700258988
222,Vmin,CYC1,TPI1,Ara,24.81937561732253
223,Vmin,CYC1,TPI1,Ahu,24.81937561732253
224,Vmin,CYC1,TPI1,Cpo,24.81937561732253
225,Vmin,CYC1,TPI1,Oeu,24.81937561732253
226,Vmin,CYC1,TPI1,Cac,24.81937561732253
227,Vmin,CYC1,TPI1,Ani,24.81937561732253
228,Vmin,CYC1,TPI1,Rse,24.81937561732253
229,Vmin,CYC1,TPI1,Clo,24.81937561732253
230,Vmin,CYC1,TPI1,Aan,24.81937561732253
231,Vmin,CYC1,TPI1,Cro,24.81937561732253
232,Smus,CYC1,URE2,Ahu,19.001786126157512
233,Smus,CYC1,URE2,Aan,19.001786126157512
234,Smus,CYC1,URE2,Ara,19.001786126157512
235,Smus,CYC1,URE2,Clo,19.001786126157512
236,Smus,CYC1,URE2,Rse,19.001786126157512
237,Smus,CYC1,URE2,Cro,19.001786126157512
238,Smus,CYC1,URE2,Ani,19.001786126157512
239,Smus,CYC1,URE2,Oeu,19.001786126157512
240,Smus,CYC1,URE2,Cpo,19.001786126157512
241,Smus,CYC1,URE2,Cac,19.001786126157512
