,0,CV_mean_MAE,CV_SD_MAE,Model_name
60,20.265256361414988,24.947948,11.087297,XGBoost_lr_search_selection_AutoML_26_20230111_100602_select_grid_model_1
120,12.27973456227966,18.538673,6.7001896,StackedEnsemble_AllModels_5_AutoML_28_20230111_110434
180,10.961404227502864,16.290192,4.9178615,StackedEnsemble_BestOfFamily_7_AutoML_30_20230111_120341
240,10.178008568551741,15.006841,6.09463,GBM_grid_1_AutoML_32_20230111_130319_model_12
296,10.048069618982924,14.349804,4.5716634,GBM_grid_1_AutoML_34_20230111_140339_model_12
