,0,CV_mean_MAE,CV_SD_MAE,Model_name
60,20.265256361414988,24.947948,11.087297,XGBoost_lr_search_selection_AutoML_21_20230111_51408_select_grid_model_1
120,12.173079450055956,17.226658,9.65263,XGBoost_lr_search_selection_AutoML_22_20230111_61129_select_grid_model_7
180,12.036415341804425,14.984035,5.188294,StackedEnsemble_BestOfFamily_6_AutoML_23_20230111_70839
240,10.178008568551741,15.006841,6.09463,GBM_grid_1_AutoML_24_20230111_80742_model_12
296,10.119081621719808,14.098402,4.5701976,GBM_lr_annealing_selection_AutoML_25_20230111_90646_select_model
