,0,CV_mean_MAE,CV_SD_MAE,Model_name
60,7.428000013873575,14.660718,7.493557,StackedEnsemble_BestOfFamily_7_AutoML_26_20230108_194345
120,6.35827546051587,12.685257,8.597869,XGBoost_lr_search_selection_AutoML_27_20230108_204253_select_grid_model_8
180,9.702212864023863,12.834663,4.1623964,StackedEnsemble_AllModels_5_AutoML_28_20230108_214057
240,8.611914323659342,12.872042,3.5260856,XGBoost_lr_search_selection_AutoML_29_20230108_223948_select_grid_model_6
296,9.44880060133024,12.66096,3.5200064,XGBoost_lr_search_selection_AutoML_30_20230108_233835_select_grid_model_7
