,0,CV_mean_MAE,CV_SD_MAE,Model_name
60,5.2826334505178485,16.5286,7.1785216,DeepLearning_grid_3_AutoML_21_20230108_105536_model_1
120,6.680341682895475,12.707113,8.57228,XGBoost_lr_search_selection_AutoML_22_20230108_115514_select_grid_model_8
180,7.285897826528849,14.398935,4.240565,XGBoost_lr_search_selection_AutoML_23_20230108_125352_select_grid_model_8
240,8.611914323659342,12.872042,3.5260856,XGBoost_lr_search_selection_AutoML_24_20230108_135247_select_grid_model_6
296,7.012232906524111,14.471451,5.0010204,XGBoost_grid_1_AutoML_25_20230108_145146_model_70
