,0,CV_mean_MAE,CV_SD_MAE,Model_name
60,16.737130487459943,20.445763,11.993407,StackedEnsemble_BestOfFamily_6_AutoML_16_20230111_02211
120,12.173079450055956,17.226658,9.65263,XGBoost_lr_search_selection_AutoML_17_20230111_12015_select_grid_model_7
180,11.479272630474588,14.279459,5.249099,StackedEnsemble_BestOfFamily_6_AutoML_18_20230111_21728
240,10.178008568551741,15.006841,6.09463,GBM_grid_1_AutoML_19_20230111_31558_model_12
296,10.119081621719808,14.098402,4.5701976,GBM_lr_annealing_selection_AutoML_20_20230111_41502_select_model
