Line_name,0,1,2,3,Amt_uM_Strictosidine,Amt_norm
yp50_F04,6,1,8,2,3.047825923,8.764470185373025
yp50_G04,6,2,6,6,1.070810638,3.079272946695541
yp50_A05,4,4,6,2,0.634958629,1.8259166085634186
yp50_B05,4,1,8,6,0.0,0.0
yp50_D05,5,2,8,4,28.85710651,82.98283958228176
yp50_E05,5,1,6,8,50.19422696,144.34085698560642
yp50_G05,6,1,7,6,0.146244605,0.42054779789802144
yp50_B06,4,3,8,6,0.0,0.0
yp50_D06,5,2,8,4,5.940724127,17.083423005788802
yp50_E06,5,2,8,8,22.41555308,64.45920850523143
yp50_F06,6,3,8,2,0.0,0.0
yp50_G06,6,4,6,6,0.0,0.0
yp50_H06,6,1,6,10,0.808004599,2.3235356600055357
yp50_A07,4,4,6,3,3.171907571,9.121285151818848
yp50_B07,4,3,8,7,0.0,0.0
yp50_C07,5,4,6,1,7.831343649,22.520176564254154
yp50_D07,5,2,5,5,43.08937181,123.9098045873527
yp50_F07,6,4,5,3,1.547986128,4.451461011550373
yp50_G07,6,1,5,7,0.0,0.0
yp50_A08,4,2,5,3,28.68411897,82.48538855486917
yp50_B08,4,4,5,7,0.0,0.0
yp50_C08,5,4,6,1,11.92257384,34.28510866222079
yp50_D08,5,4,6,5,10.67889628,30.708731542851602
yp50_E08,5,1,5,9,25.19065345,72.43941638742638
yp50_F08,6,4,7,3,0.0,0.0
yp50_A09,4,2,6,3,46.71010234,134.32174594528271
yp50_G09,6,2,8,7,0.374555667,1.077089722024786
yp50_A10,4,4,8,4,0.101051699,0.29058897241579407
yp50_B10,4,4,8,8,1.188093937,3.416538264104448
yp50_C10,5,3,5,2,1.226744822,3.5276845492857687
yp50_F10,6,2,5,4,34.93819477,100.46990022678561
yp50_G10,6,2,8,8,19.21148765,55.2454487162281
yp50_B11,4,1,8,8,2.036817008,5.857165858772272
yp50_D11,5,4,8,6,0.0,0.0
yp50_G11,6,4,8,8,1.24752813,3.587449997812478
yp50_A12,4,4,5,4,1.115554969,3.207941829014107
yp50_B12,4,1,7,8,0.0,0.0
yp50_C12,5,4,5,2,4.084635392,11.745967786790642
yp50_D12,5,4,8,6,0.0,0.0
yp50_E12,5,4,5,10,0.0,0.0
yp50_F12,6,4,7,4,0.0,0.0
yp50_G12,6,3,7,8,0.0,0.0
yp51_A01,7,2,5,1,41.828541,122.21049426971837
yp51_B01,7,4,7,5,0.748061519,2.1856121632630297
yp51_C01,7,4,6,9,0.4431894,1.2948669576856606
yp51_A02,7,2,6,1,46.44331945,135.6934975453943
yp51_B02,7,3,7,5,0.0,0.0
yp51_C02,7,3,5,9,0.0,0.0
yp51_D02,8,4,7,3,0.0,0.0
yp51_E02,8,1,8,7,0.0,0.0
yp51_A03,7,4,7,1,0.0,0.0
yp51_B03,7,4,5,5,0.243293062,0.7108296069760893
yp51_A04,7,3,5,2,0.686727482,2.006412439865381
yp51_C04,7,4,8,10,0.0,0.0
yp51_E04,8,1,7,8,0.053133423,0.15523998044952184
yp51_A05,7,4,6,2,1.174344573,3.4310838312359824
yp51_B05,7,1,7,6,0.0,0.0
yp51_C05,7,1,8,10,0.0,0.0
yp51_D05,8,3,8,4,0.0,0.0
yp51_E05,8,3,6,8,0.0,0.0
yp51_A06,7,1,5,2,12.43432535,36.329382058389
yp51_B06,7,1,8,6,0.0,0.0
yp51_C06,7,2,5,10,4.794098799,14.00692373668145
yp51_D06,8,4,5,4,0.880562414,2.5727401739945073
yp51_A07,7,1,8,3,1.190719415,3.4789262251269992
yp51_C07,8,1,7,1,0.0,0.0
yp51_D07,8,4,8,5,0.0,0.0
yp51_E07,8,1,8,9,2.235944362,6.5327611029897055
yp51_A08,7,1,6,3,4.605194414,13.455001587148018
yp51_D08,8,2,7,5,0.0,0.0
yp51_E08,8,4,5,9,0.219880506,0.6424251163466538
yp51_C09,8,2,6,1,1.198360254,3.5012504728416243
yp51_D09,8,4,7,5,0.0,0.0
yp51_A10,7,4,8,4,0.0,0.0
yp51_C10,8,3,8,2,0.0,0.0
yp51_D10,8,4,5,6,0.0,0.0
yp51_B11,7,3,8,8,2.350935786,6.8687316730322685
yp51_C11,8,4,7,2,0.0,0.0
yp51_D11,8,4,7,6,0.0,0.0
yp51_E11,8,3,7,10,0.0,0.0
yp51_A12,7,4,7,4,0.0,0.0
yp51_C12,8,3,7,2,0.0,0.0
yp51_D12,8,2,7,6,0.202342763,0.5911850733242282
yp51_E12,8,1,6,10,0.15355561,0.44864359471653836
yp50_F05,6,1,8,2,4.656776674,13.391243906423576
yp50_E07,5,1,6,9,26.30122887,75.63303879339936
