,0,CV_mean_MAE,CV_SD_MAE,Model_name
60,19.855646797568195,20.640572,9.461753,DRF_1_AutoML_77_20230105_123707
120,6.454844453028636,18.235874,6.6964803,GBM_5_AutoML_79_20230105_123810
180,11.560250974799661,16.102028,4.885472,GBM_grid_1_AutoML_81_20230105_123913_model_2
240,8.104149256352684,15.791488,3.8497577,GBM_5_AutoML_82_20230105_124015
296,9.247011167199407,15.321414,4.154399,GBM_5_AutoML_84_20230105_124119
