ID,name,date,plate,row,col,size,seq,concentration,volume,features,location,reference,comments,description
,,,1,C,2,,,,,,ds_dna_plates,,,
,,,1,C,3,,,,,,ds_dna_plates,,,
,,,1,C,4,,,,,,ds_dna_plates,,,
,,,1,C,5,,,,,,ds_dna_plates,,,
,,,1,C,6,,,,,,ds_dna_plates,,,
,,,1,C,7,,,,,,ds_dna_plates,,,
,,,1,C,8,,,,,,ds_dna_plates,,,
,,,1,C,9,,,,,,ds_dna_plates,,,
,,,1,C,10,,,,,,ds_dna_plates,,,
,,,1,C,11,,,,,,ds_dna_plates,,,
,,,1,C,12,,,,,,ds_dna_plates,,,
,,,1,D,1,,,,,,ds_dna_plates,,,
,,,1,D,2,,,,,,ds_dna_plates,,,
,,,1,D,3,,,,,,ds_dna_plates,,,
,,,1,D,4,,,,,,ds_dna_plates,,,
,,,1,D,5,,,,,,ds_dna_plates,,,
,,,1,D,6,,,,,,ds_dna_plates,,,
,,,1,D,7,,,,,,ds_dna_plates,,,
,,,1,D,8,,,,,,ds_dna_plates,,,
,,,1,D,9,,,,,,ds_dna_plates,,,
,,,1,D,10,,,,,,ds_dna_plates,,,
,,,1,D,11,,,,,,ds_dna_plates,,,
,,,1,D,12,,,,,,ds_dna_plates,,,
,,,1,E,1,,,,,,ds_dna_plates,,,
,,,1,E,2,,,,,,ds_dna_plates,,,
,,,1,E,3,,,,,,ds_dna_plates,,,
,,,1,E,4,,,,,,ds_dna_plates,,,
,,,1,E,5,,,,,,ds_dna_plates,,,
,,,1,E,6,,,,,,ds_dna_plates,,,
,,,1,E,7,,,,,,ds_dna_plates,,,
,,,1,E,8,,,,,,ds_dna_plates,,,
,,,1,E,9,,,,,,ds_dna_plates,,,
,,,1,E,10,,,,,,ds_dna_plates,,,
,,,1,E,11,,,,,,ds_dna_plates,,,
,,,1,E,12,,,,,,ds_dna_plates,,,
,,,1,F,1,,,,,,ds_dna_plates,,,
,,,1,F,2,,,,,,ds_dna_plates,,,
,,,1,F,3,,,,,,ds_dna_plates,,,
,,,1,F,4,,,,,,ds_dna_plates,,,
,,,1,F,5,,,,,,ds_dna_plates,,,
,,,1,F,6,,,,,,ds_dna_plates,,,
,,,1,F,7,,,,,,ds_dna_plates,,,
,,,1,F,8,,,,,,ds_dna_plates,,,
,,,1,F,9,,,,,,ds_dna_plates,,,
,,,1,F,10,,,,,,ds_dna_plates,,,
,,,1,F,11,,,,,,ds_dna_plates,,,
,,,1,F,12,,,,,,ds_dna_plates,,,
,,,1,G,1,,,,,,ds_dna_plates,,,
,,,1,G,2,,,,,,ds_dna_plates,,,
,,,1,G,3,,,,,,ds_dna_plates,,,
,,,1,G,4,,,,,,ds_dna_plates,,,
,,,1,G,5,,,,,,ds_dna_plates,,,
,,,1,G,6,,,,,,ds_dna_plates,,,
,,,1,G,7,,,,,,ds_dna_plates,,,
,,,1,G,8,,,,,,ds_dna_plates,,,
,,,1,G,9,,,,,,ds_dna_plates,,,
,,,1,G,10,,,,,,ds_dna_plates,,,
,,,1,G,11,,,,,,ds_dna_plates,,,
,,,1,G,12,,,,,,ds_dna_plates,,,
,,,1,H,1,,,,,,ds_dna_plates,,,
,,,1,H,2,,,,,,ds_dna_plates,,,
,,,1,H,3,,,,,,ds_dna_plates,,,
,,,1,H,4,,,,,,ds_dna_plates,,,
,,,1,H,5,,,,,,ds_dna_plates,,,
,,,1,H,6,,,,,,ds_dna_plates,,,
,,,1,H,7,,,,,,ds_dna_plates,,,
,,,1,H,8,,,,,,ds_dna_plates,,,
,,,1,H,9,,,,,,ds_dna_plates,,,
,,,1,H,10,,,,,,ds_dna_plates,,,
,,,1,H,11,,,,,,ds_dna_plates,,,
,,,1,H,12,,,,,,ds_dna_plates,,,
,,,2,A,1,,,,,,ds_dna_plates,,,
,,,2,A,2,,,,,,ds_dna_plates,,,
,,,2,A,3,,,,,,ds_dna_plates,,,
,,,2,A,4,,,,,,ds_dna_plates,,,
,,,2,A,5,,,,,,ds_dna_plates,,,
,,,2,A,6,,,,,,ds_dna_plates,,,
,,,2,A,7,,,,,,ds_dna_plates,,,
,,,2,A,8,,,,,,ds_dna_plates,,,
,,,2,A,9,,,,,,ds_dna_plates,,,
,,,2,A,10,,,,,,ds_dna_plates,,,
,,,2,A,11,,,,,,ds_dna_plates,,,
,,,2,A,12,,,,,,ds_dna_plates,,,
,,,2,B,1,,,,,,ds_dna_plates,,,
,,,2,B,2,,,,,,ds_dna_plates,,,
,,,2,B,3,,,,,,ds_dna_plates,,,
,,,2,B,4,,,,,,ds_dna_plates,,,
,,,2,B,5,,,,,,ds_dna_plates,,,
,,,2,B,6,,,,,,ds_dna_plates,,,
,,,2,B,7,,,,,,ds_dna_plates,,,
,,,2,B,8,,,,,,ds_dna_plates,,,
,,,2,B,9,,,,,,ds_dna_plates,,,
,,,2,B,10,,,,,,ds_dna_plates,,,
,,,2,B,11,,,,,,ds_dna_plates,,,
,,,2,B,12,,,,,,ds_dna_plates,,,
,,,2,C,1,,,,,,ds_dna_plates,,,
,,,2,C,2,,,,,,ds_dna_plates,,,
,,,2,C,3,,,,,,ds_dna_plates,,,
,,,2,C,4,,,,,,ds_dna_plates,,,
,,,2,C,5,,,,,,ds_dna_plates,,,
,,,2,C,6,,,,,,ds_dna_plates,,,
,,,2,C,7,,,,,,ds_dna_plates,,,
,,,2,C,8,,,,,,ds_dna_plates,,,
,,,2,C,9,,,,,,ds_dna_plates,,,
,,,2,C,10,,,,,,ds_dna_plates,,,
