data_file,sample_notes,Amt_ug_L_Loganin,Amt_ug_L_Secologanin,Amt_ug_L_Strictosidine,Amt_ug_L_Tryptamine,Amt_uM_Loganin,Amt_uM_Secologanin,Amt_uM_Strictosidine,Amt_uM_Tryptamine
211001_TMET581_094.xms,96WP1248_E11,NA,NA,693.911,145845.844,NA,NA,1.307859472,910.2848833
211001_TMET581_095.xms,96WP1248_E12,NA,NA,NA,148984.875,NA,NA,NA,929.876888
211001_TMET581_097.xms,96WP1248_F1,NA,NA,NA,167569.203,NA,NA,NA,1045.869448
211001_TMET581_098.xms,96WP1248_F2,NA,NA,421.616,161455.859,NA,NA,0.794647266,1007.713513
211001_TMET581_099.xms,96WP1248_F3,NA,NA,383.604,160817.438,NA,NA,0.723003562,1003.72886
211001_TMET581_100.xms,96WP1248_F4,NA,NA,338.008,134424.484,NA,NA,0.637065797,838.9994008
211001_TMET581_101.xms,96WP1248_F5,388.248,NA,8169.227,142637.438,0.994538655,NA,15.39707673,890.2598802
211001_TMET581_102.xms,96WP1248_F6,NA,NA,3118.716,133742.594,NA,NA,5.878048137,834.7434403
211001_TMET581_103.xms,96WP1248_F7,NA,NA,NA,140685.297,NA,NA,NA,878.0757521
211001_TMET581_104.xms,96WP1248_F8,NA,NA,2887.901,143257.344,NA,NA,5.443016002,894.1289727
211001_TMET581_105.xms,96WP1248_F9,NA,NA,3592.374,144748.953,NA,NA,6.770782366,903.438728
211001_TMET581_106.xms,96WP1248_F10,375.541,NA,7752.932,161213.531,0.961988319,NA,14.6124583,1006.201042
211001_TMET581_107.xms,96WP1248_F11,NA,NA,5534.566,138138.094,NA,NA,10.43135873,862.1775933
211001_TMET581_108.xms,96WP1248_F12,NA,NA,NA,138752.891,NA,NA,NA,866.0147984
211001_TMET581_110.xms,96WP1248_G1,NA,NA,NA,132218.172,NA,NA,NA,825.2288853
211001_TMET581_111.xms,96WP1248_G2,NA,NA,NA,176606.328,NA,NA,NA,1102.273923
211001_TMET581_112.xms,96WP1248_G3,NA,NA,NA,129297.984,NA,NA,NA,807.0027712
211001_TMET581_113.xms,96WP1248_H7,800.578,NA,12808.308,147344.984,2.05076592,NA,24.14065628,919.6416427
211001_TMET581_114.xms,96WP1248_H8,1526.662,NA,15091.814,167400.484,3.910707516,NA,28.44452947,1044.816402
211001_TMET581_115.xms,96WP1248_H9,965.164,NA,11963.11,130024.117,2.472370511,NA,22.54765629,811.5348708
211001_TMET581_116.xms,96WP1248_H10,1988.074,NA,20066.662,190289.266,5.092663559,NA,37.82095105,1187.67486
211001_TMET581_117.xms,96WP1248_H11,5787.284,NA,18192.01,159843.375,14.82474512,NA,34.28767175,997.6493259
211001_TMET581_118.xms,96WP1248_H12,NA,NA,NA,170562.578,NA,NA,NA,1064.552353
