data_file,sample_notes,Amt_ug_L_Loganic acid,Amt_ug_L_Loganin,Amt_ug_L_Secologanin,Amt_ug_L_Strictosidine,Amt_ug_L_Tryptamine,,Amt_uM_Loganic acid,Amt_uM_Loganin,Amt_uM_Secologanin,Amt_uM_Strictosidine,Amt_uM_Tryptamine
210603_TMET525_038.xms,96WPYP50_B8,NA,NA,NA,NA,209103.828,,NA,NA,NA,NA,1305.104406
210603_TMET525_039.xms,96WPYP50_B9,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA
210603_TMET525_040.xms,96WPYP50_B10,NA,NA,NA,630.367,319487.531,,NA,NA,NA,1.188093937,1994.055243
210603_TMET525_041.xms,96WPYP50_B11,NA,NA,NA,1080.674,188817.781,,NA,NA,NA,2.036817008,1178.490707
210603_TMET525_042.xms,96WPYP50_B12,NA,NA,NA,NA,197595.656,,NA,NA,NA,NA,1233.277094
210603_TMET525_044.xms,96WPYP50_C1,NA,NA,NA,114.875,144177.594,,NA,NA,NA,0.21651243,899.8726376
210603_TMET525_045.xms,96WPYP50_C2,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA
210603_TMET525_046.xms,96WPYP50_C3,NA,888.94,NA,10526.597,144882.453,,NA,2.277114606,NA,19.84016624,904.2719573
210603_TMET525_047.xms,96WPYP50_C4,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA
210603_TMET525_048.xms,96WPYP50_C5,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA
210603_TMET525_049.xms,96WPYP50_C6,NA,NA,NA,132.063,276388.531,,NA,NA,NA,0.248907778,1725.056366
210603_TMET525_050.xms,96WPYP50_C7,NA,NA,NA,4155.076,139011.141,,NA,NA,NA,7.831343649,867.6266446
210603_TMET525_051.xms,96WPYP50_C8,NA,NA,NA,6325.76,247808.453,,NA,NA,NA,11.92257384,1546.676152
210603_TMET525_052.xms,96WPYP50_C9,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA
210603_TMET525_053.xms,96WPYP50_C10,NA,NA,NA,650.874,208135.5,,NA,NA,NA,1.226744822,1299.060667
210603_TMET525_054.xms,96WPYP50_C11,NA,NA,NA,92.127,142354.047,,NA,NA,NA,0.173637786,888.4911185
210603_TMET525_055.xms,96WPYP50_C12,NA,NA,NA,2167.185,148278.688,,NA,NA,NA,4.084635392,925.4692797
210603_TMET525_057.xms,96WPYP50_D1,NA,NA,NA,2485.06,236046.797,,NA,NA,NA,4.683755207,1473.266739
210603_TMET525_058.xms,96WPYP50_D2,NA,NA,NA,3271.367,281762.219,,NA,NA,NA,6.165759466,1758.5958
210603_TMET525_059.xms,96WPYP50_D3,NA,10241.95,NA,45209.949,323924.469,,NA,26.23584712,NA,85.21014946,2021.748028
210603_TMET525_060.xms,96WPYP50_D4,NA,NA,NA,5893.569,198642.688,,NA,NA,NA,11.10799518,1239.812058
210603_TMET525_061.xms,96WPYP50_D5,NA,3881.01,NA,15310.715,148577.125,,NA,9.941620985,NA,28.85710651,927.3319498
210603_TMET525_062.xms,96WPYP50_D6,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA
210603_TMET525_063.xms,96WPYP50_D7,NA,2671.134,NA,22861.928,148262.125,,NA,6.84239459,NA,43.08937181,925.3659031
210603_TMET525_064.xms,96WPYP50_D8,NA,NA,NA,5665.902,152138.188,,NA,NA,NA,10.67889628,949.5580327
210603_TMET525_065.xms,96WPYP50_D9,NA,NA,NA,185.092,139744.188,,NA,NA,NA,0.348855005,872.2018974
210603_TMET525_066.xms,96WPYP50_D10,NA,NA,NA,NA,272380.156,,NA,NA,NA,NA,1700.038422
210603_TMET525_067.xms,96WPYP50_D11,NA,NA,NA,NA,181020.75,,NA,NA,NA,NA,1129.826177
210603_TMET525_068.xms,96WPYP50_D12,NA,NA,NA,NA,253118.984,,NA,NA,NA,NA,1579.821396
210603_TMET525_083.xms,96WPYP50_E1,NA,NA,NA,NA,211912.344,,NA,NA,NA,NA,1322.633529
210603_TMET525_084.xms,96WPYP50_E2,NA,NA,NA,NA,305974.813,,NA,NA,NA,NA,1909.716721
210603_TMET525_085.xms,96WPYP50_E3,NA,NA,NA,NA,310586.344,,NA,NA,NA,NA,1938.499214
210603_TMET525_086.xms,96WPYP50_E4,NA,NA,NA,NA,174767.656,,NA,NA,NA,NA,1090.798003
210603_TMET525_087.xms,96WPYP50_E5,NA,3126.819,NA,26631.551,277416.469,,NA,8.009680311,NA,50.19422696,1731.472157
210603_TMET525_088.xms,96WPYP50_E6,NA,1715.266,NA,11893.02,155773.391,,NA,4.393836774,NA,22.41555308,972.2468543
210603_TMET525_089.xms,96WPYP50_E7,NA,2589.218,NA,13954.643,294916,,NA,6.63255802,NA,26.30122887,1840.694046
210603_TMET525_090.xms,96WPYP50_E8,NA,1732.853,NA,13365.405,168947.188,,NA,4.43888775,NA,25.19065345,1054.470029
210603_TMET525_091.xms,96WPYP50_E9,NA,NA,NA,NA,150606.563,,NA,NA,NA,NA,939.9985208
210603_TMET525_092.xms,96WPYP50_E10,NA,NA,NA,85.197,187585.172,,NA,NA,NA,0.160576361,1170.797478
210603_TMET525_093.xms,96WPYP50_E11,NA,NA,NA,1349.552,244165.203,,NA,NA,NA,2.54358897,1523.937105
210603_TMET525_094.xms,96WPYP50_E12,NA,NA,NA,NA,279182.031,,NA,NA,NA,NA,1742.491768
210603_TMET525_096.xms,96WPYP50_F1,NA,NA,NA,171.926,172028.344,,NA,NA,NA,0.324040183,1073.700811
210603_TMET525_097.xms,96WPYP50_F2,NA,NA,NA,NA,132115.094,,NA,NA,NA,NA,824.5855324
210603_TMET525_098.xms,96WPYP50_F3,NA,NA,NA,NA,172115.188,,NA,NA,NA,NA,1074.242841
210603_TMET525_099.xms,96WPYP50_F4,NA,NA,NA,1617.085,154199.125,,NA,NA,NA,3.047825923,962.4212021
210603_TMET525_100.xms,96WPYP50_F5,NA,NA,NA,2470.746,139137.25,,NA,NA,NA,4.656776674,868.4137436
210603_TMET525_101.xms,96WPYP50_F6,NA,NA,NA,NA,227146.641,,NA,NA,NA,NA,1417.717145
210603_TMET525_102.xms,96WPYP50_F7,NA,NA,NA,821.315,209943.344,,NA,NA,NA,1.547986128,1310.344177
210603_TMET525_103.xms,96WPYP50_F8,NA,NA,NA,NA,221158.906,,NA,NA,NA,NA,1380.345188
210603_TMET525_104.xms,96WPYP50_F9,NA,NA,NA,4819.396,176842.016,,NA,NA,NA,9.083431027,1103.744951
210603_TMET525_105.xms,96WPYP50_F10,NA,1644.331,NA,18537.158,157563.047,,NA,4.212129207,NA,34.93819477,983.4168456
210603_TMET525_106.xms,96WPYP50_F11,NA,NA,NA,NA,211340.594,,NA,NA,NA,NA,1319.064998
210603_TMET525_107.xms,96WPYP50_F12,NA,NA,NA,NA,269792.5,,NA,NA,NA,NA,1683.887779
210603_TMET525_109.xms,96WPYP50_G1,NA,1057.354,NA,14053.137,301455.625,,NA,2.708525027,NA,26.48686695,1881.510579
210603_TMET525_110.xms,96WPYP50_G2,NA,NA,NA,NA,185858.703,,NA,NA,NA,NA,1160.021864
210603_TMET525_111.xms,96WPYP50_G3,NA,3369.869,NA,28843.102,236502.531,,NA,8.632278805,NA,54.36248186,1476.111166
210603_TMET525_112.xms,96WPYP50_G4,NA,NA,NA,568.14,223378.719,,NA,NA,NA,1.070810638,1394.199969
210603_TMET525_113.xms,96WPYP50_G5,NA,NA,NA,77.593,137647.281,,NA,NA,NA,0.146244605,859.1142242
210603_TMET525_114.xms,96WPYP50_G6,NA,NA,NA,NA,136473.75,,NA,NA,NA,NA,851.7897266
210603_TMET525_115.xms,96WPYP50_G7,NA,NA,NA,NA,133221.109,,NA,NA,NA,NA,831.4886344
210603_TMET525_116.xms,96WPYP50_G8,NA,NA,NA,252.814,155575.531,,NA,NA,NA,0.47649509,971.0119273
210603_TMET525_117.xms,96WPYP50_G9,NA,NA,NA,198.728,143392.438,,NA,NA,NA,0.374555667,894.9721508
210603_TMET525_118.xms,96WPYP50_G10,NA,1138.916,NA,10193.039,146794.703,,NA,2.917454788,NA,19.21148765,916.207109
210603_TMET525_119.xms,96WPYP50_G11,NA,NA,NA,661.901,346684.063,,NA,NA,NA,1.24752813,2163.800169
210603_TMET525_120.xms,96WPYP50_G12,NA,NA,NA,NA,263586.25,,NA,NA,NA,NA,1645.151979
210603_TMET525_122.xms,96WPYP50_H1,NA,NA,NA,877.848,181931.422,,NA,NA,NA,1.654537573,1135.510061
210603_TMET525_123.xms,96WPYP50_H2,NA,NA,NA,337.115,143564.453,,NA,NA,NA,0.635382702,896.0457683
210603_TMET525_124.xms,96WPYP50_H3,NA,NA,NA,519.925,189648,,NA,NA,NA,0.979936672,1183.67245
210603_TMET525_125.xms,96WPYP50_H4,NA,NA,NA,NA,297366.844,,NA,NA,NA,NA,1855.990788
210603_TMET525_126.xms,96WPYP50_H5,NA,NA,NA,229.402,295282.125,,NA,NA,NA,0.432368962,1842.979185
210603_TMET525_127.xms,96WPYP50_H6,NA,NA,NA,428.703,247474.672,,NA,NA,NA,0.808004599,1544.592885
210603_TMET525_128.xms,96WPYP50_H7,NA,NA,NA,21791.588,171007.516,,NA,NA,NA,41.07203197,1067.329397
210603_TMET525_129.xms,96WPYP50_H8,NA,NA,NA,15524.436,127146.813,,NA,NA,NA,29.25992046,793.5764137
210603_TMET525_130.xms,96WPYP50_H9,NA,1195.809,NA,18326.477,200282.125,,NA,3.063192274,NA,34.5411105,1250.04447
210603_TMET525_131.xms,96WPYP50_H10,NA,1284.234,NA,18159.336,200116.313,,NA,3.289702341,NA,34.22608892,1249.009568
210603_TMET525_132.xms,96WPYP50_H11,NA,7965.149,NA,37619.777,193009.719,,NA,20.40357856,NA,70.90445559,1204.654344
210603_TMET525_133.xms,96WPYP50_H12,NA,NA,NA,NA,171816.703,,NA,NA,NA,NA,1072.379871
