data_file,sample_notes,Amt_ug_L_Loganic acid,Amt_ug_L_Loganin,Amt_ug_L_Secologanin,Amt_ug_L_Strictosidine,Amt_ug_L_Tryptamine,,Amt_uM_Loganic acid,Amt_uM_Loganin,Amt_uM_Secologanin,Amt_uM_Strictosidine,Amt_uM_Tryptamine
210603_TMET525_018.xms,96WPYP50_A1,NA,NA,NA,54.684,173479.531,,NA,NA,NA,0.103066513,1082.758276
210603_TMET525_019.xms,96WPYP50_A2,NA,NA,NA,1713.696,252129.906,,NA,NA,NA,3.229914997,1573.648146
210603_TMET525_020.xms,96WPYP50_A3,NA,NA,NA,198.459,310779.063,,NA,NA,NA,0.374048665,1939.702053
210603_TMET525_021.xms,96WPYP50_A4,NA,NA,NA,NA,193592.531,,NA,NA,NA,NA,1208.291917
210603_TMET525_022.xms,96WPYP50_A5,NA,NA,NA,336.89,172544.281,,NA,NA,NA,0.634958629,1076.92099
210603_TMET525_023.xms,96WPYP50_A6,NA,NA,NA,306.83,250514.922,,NA,NA,NA,0.57830258,1563.568356
210603_TMET525_024.xms,96WPYP50_A7,NA,NA,NA,1682.919,271268.063,,NA,NA,NA,3.171907571,1693.097385
210603_TMET525_025.xms,96WPYP50_A8,NA,1028.241,NA,15218.933,207400.891,,NA,2.633948973,NA,28.68411897,1294.475665
210603_TMET525_026.xms,96WPYP50_A9,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA
210603_TMET525_027.xms,96WPYP50_A10,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA
210603_TMET525_028.xms,96WPYP50_A11,NA,NA,NA,NA,330755.719,,NA,NA,NA,NA,2064.384715
210603_TMET525_029.xms,96WPYP50_A12,NA,NA,NA,591.88,158137.656,,NA,NA,NA,1.115554969,987.0032206
210603_TMET525_031.xms,96WPYP50_B1,NA,NA,NA,NA,346004.531,,NA,NA,NA,NA,2159.558925
210603_TMET525_032.xms,96WPYP50_B2,NA,NA,NA,3305.622,295211.656,,NA,NA,NA,6.230322106,1842.539358
210603_TMET525_033.xms,96WPYP50_B3,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA
210603_TMET525_034.xms,96WPYP50_B4,NA,NA,NA,NA,177663.281,,NA,NA,NA,NA,1108.870809
210603_TMET525_035.xms,96WPYP50_B5,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA
210603_TMET525_036.xms,96WPYP50_B6,NA,NA,NA,NA,276924.219,,NA,NA,NA,NA,1728.399819
210603_TMET525_037.xms,96WPYP50_B7,NA,NA,NA,NA,189193.281,,NA,NA,NA,NA,1180.834359
