data_file,sample_notes,Amt_ug_L_Loganic acid,Amt_ug_L_Loganin,Amt_ug_L_Secologanin,Amt_ug_L_Strictosidine,Amt_ug_L_Tryptamine,,Amt_uM_Loganic acid,Amt_uM_Loganin,Amt_uM_Secologanin,Amt_uM_Strictosidine,Amt_uM_Tryptamine
210603_TMET525_149.xms,96WPYP51_A1,NA,1708.118,NA,22192.969,321616.281,,NA,4.37552641,NA,41.828541,2007.341661
210603_TMET525_150.xms,96WPYP51_A2,NA,1985.7,NA,24641.432,288165.531,,NA,5.086582304,NA,46.44331945,1798.561547
210603_TMET525_151.xms,96WPYP51_A3,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA
210603_TMET525_152.xms,96WPYP51_A4,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA
210603_TMET525_153.xms,96WPYP51_A5,NA,NA,NA,623.072,204225.422,,NA,NA,NA,1.174344573,1274.656235
210603_TMET525_154.xms,96WPYP51_A6,NA,NA,NA,6597.28,384525.938,,NA,NA,NA,12.43432535,2399.98713
210603_TMET525_155.xms,96WPYP51_A7,NA,NA,NA,631.76,257205.281,,NA,NA,NA,1.190719415,1605.325683
210603_TMET525_156.xms,96WPYP51_A8,NA,NA,NA,2443.378,255050.516,,NA,NA,NA,4.605194414,1591.876894
210603_TMET525_157.xms,96WPYP51_A9,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA
210603_TMET525_158.xms,96WPYP51_A10,NA,NA,NA,NA,337561.25,,NA,NA,NA,NA,2106.860879
210603_TMET525_159.xms,96WPYP51_A11,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA
210603_TMET525_160.xms,96WPYP51_A12,NA,NA,NA,NA,289135.219,,NA,NA,NA,NA,1804.613775
210603_TMET525_162.xms,96WPYP51_B1,NA,NA,NA,396.899,157540.703,,NA,NA,NA,0.748061519,983.2773873
210603_TMET525_163.xms,96WPYP51_B2,NA,NA,NA,NA,176328.109,,NA,NA,NA,NA,1100.537442
210603_TMET525_164.xms,96WPYP51_B3,NA,NA,NA,129.084,162869.922,,NA,NA,NA,0.243293062,1016.539271
210603_TMET525_165.xms,96WPYP51_B4,NA,NA,NA,NA,348265.219,,NA,NA,NA,NA,2173.668824
210603_TMET525_166.xms,96WPYP51_B5,NA,NA,NA,NA,174614.813,,NA,NA,NA,NA,1089.844046
210603_TMET525_167.xms,96WPYP51_B6,NA,NA,NA,NA,155239.359,,NA,NA,NA,NA,968.9137374
210603_TMET525_168.xms,96WPYP51_B7,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA
210603_TMET525_169.xms,96WPYP51_B8,NA,NA,NA,NA,163129.969,,NA,NA,NA,NA,1018.162333
210603_TMET525_170.xms,96WPYP51_B9,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA
210603_TMET525_171.xms,96WPYP51_B10,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA
