data_file,sample_notes,Amt_ug_L_Loganic acid,Amt_ug_L_Loganin,Amt_ug_L_Secologanin,Amt_ug_L_Strictosidine,Amt_ug_L_Tryptamine,,Amt_uM_Loganic acid,Amt_uM_Loganin,Amt_uM_Secologanin,Amt_uM_Strictosidine,Amt_uM_Tryptamine
210603_TMET525_172.xms,96WPYP51_B11,NA,NA,NA,1247.336,358545.5,,NA,NA,NA,2.350935786,2237.832356
210603_TMET525_173.xms,96WPYP51_B12,NA,NA,NA,NA,203196.141,,NA,NA,NA,NA,1268.232062
210603_TMET525_175.xms,96WPYP51_C1,NA,NA,NA,235.143,172773.5,,NA,NA,NA,0.4431894,1078.351641
210603_TMET525_176.xms,96WPYP51_C2,NA,NA,NA,NA,163150.375,,NA,NA,NA,NA,1018.289695
210603_TMET525_177.xms,96WPYP51_C3,NA,NA,NA,233.389,276609.906,,NA,NA,NA,0.439883521,1726.43806
210603_TMET525_178.xms,96WPYP51_C4,NA,NA,NA,NA,444118.875,,NA,NA,NA,NA,2771.931563
210603_TMET525_179.xms,96WPYP51_C5,NA,NA,NA,NA,188333.781,,NA,NA,NA,NA,1175.46986
210603_TMET525_180.xms,96WPYP51_C6,NA,NA,NA,2543.605,419070.688,,NA,NA,NA,4.794098799,2615.595356
210603_TMET525_181.xms,96WPYP51_C7,NA,NA,NA,NA,170291.172,,NA,NA,NA,NA,1062.858395
210603_TMET525_182.xms,96WPYP51_C8,NA,NA,NA,NA,195111.938,,NA,NA,NA,NA,1217.775172
210603_TMET525_183.xms,96WPYP51_C9,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA
210603_TMET525_184.xms,96WPYP51_C10,NA,NA,NA,NA,345701.531,,NA,NA,NA,NA,2157.667776
210603_TMET525_185.xms,96WPYP51_C11,NA,NA,NA,NA,257018.344,,NA,NA,NA,NA,1604.158931
210603_TMET525_186.xms,96WPYP51_C12,NA,NA,NA,NA,181145.125,,NA,NA,NA,NA,1130.602453
210603_TMET525_188.xms,96WPYP51_D1,NA,NA,NA,NA,362737.375,,NA,NA,NA,NA,2263.9956
210603_TMET525_189.xms,96WPYP51_D2,NA,NA,NA,NA,160921.734,,NA,NA,NA,NA,1004.379815
210603_TMET525_190.xms,96WPYP51_D3,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA
210603_TMET525_191.xms,96WPYP51_D4,NA,NA,NA,64.587,179534.313,,NA,NA,NA,0.121731346,1120.548702
210603_TMET525_192.xms,96WPYP51_D5,NA,NA,NA,NA,341681.75,,NA,NA,NA,NA,2132.578642
210603_TMET525_193.xms,96WPYP51_D6,NA,NA,NA,467.2,178205.484,,NA,NA,NA,0.880562414,1112.254924
210603_TMET525_194.xms,96WPYP51_D7,NA,NA,NA,NA,364243.844,,NA,NA,NA,NA,2273.398103
210603_TMET525_195.xms,96WPYP51_D8,NA,NA,NA,NA,173305.109,,NA,NA,NA,NA,1081.669636
210603_TMET525_196.xms,96WPYP51_D9,NA,NA,NA,NA,188227.938,,NA,NA,NA,NA,1174.80925
210603_TMET525_197.xms,96WPYP51_D10,NA,NA,NA,NA,358206.875,,NA,NA,NA,NA,2235.718855
210603_TMET525_198.xms,96WPYP51_D11,NA,NA,NA,NA,181595.75,,NA,NA,NA,NA,1133.414992
210603_TMET525_199.xms,96WPYP51_D12,NA,NA,NA,107.357,274194.344,,NA,NA,NA,0.202342763,1711.361528
210603_TMET525_214.xms,96WPYP51_E1,NA,NA,NA,NA,340464.25,,NA,NA,NA,NA,2124.979715
210603_TMET525_215.xms,96WPYP51_E2,NA,NA,NA,NA,193681.75,,NA,NA,NA,NA,1208.84877
210603_TMET525_216.xms,96WPYP51_E3,NA,NA,NA,NA,144678.781,,NA,NA,NA,NA,903.0007552
210603_TMET525_217.xms,96WPYP51_E4,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA
210603_TMET525_218.xms,96WPYP51_E5,NA,NA,NA,NA,175933.063,,NA,NA,NA,NA,1098.071795
210603_TMET525_219.xms,96WPYP51_E6,NA,NA,NA,NA,224412.234,,NA,NA,NA,NA,1400.650568
210603_TMET525_220.xms,96WPYP51_E7,NA,NA,NA,1186.325,411642.531,,NA,NA,NA,2.235944362,2569.233123
210603_TMET525_221.xms,96WPYP51_E8,NA,NA,NA,116.662,159308.047,,NA,NA,NA,0.219880506,994.3081201
210603_TMET525_222.xms,96WPYP51_E9,NA,NA,NA,737.733,209054.328,,NA,NA,NA,1.390453663,1304.795456
210603_TMET525_223.xms,96WPYP51_E10,NA,NA,NA,558.102,221651.25,,NA,NA,NA,1.051891362,1383.418113
210603_TMET525_224.xms,96WPYP51_E11,NA,NA,NA,NA,251128.203,,NA,NA,NA,NA,1567.396099
210603_TMET525_225.xms,96WPYP51_E12,NA,NA,NA,81.472,176785.047,,NA,NA,NA,0.15355561,1103.389383
210603_TMET525_259.xms,96WPYP51_H7,NA,1197.373,NA,18498.592,226135.734,,NA,3.067198627,NA,34.86550691,1411.407652
210603_TMET525_260.xms,96WPYP51_H8,NA,716.115,NA,15859.59,180041.953,,NA,1.834404939,NA,29.89160714,1123.717095
210603_TMET525_261.xms,96WPYP51_H9,NA,606.494,NA,14590.223,151496.813,,NA,1.553599057,NA,27.49914809,945.5549432
210603_TMET525_262.xms,96WPYP51_H10,NA,NA,NA,23690.1,193096.094,,NA,NA,NA,44.65028177,1205.193447
210603_TMET525_263.xms,96WPYP51_H11,NA,15248.204,NA,74476.773,343782.531,,NA,39.05990061,NA,140.3712479,2145.690494
210603_TMET525_264.xms,96WPYP51_H12,NA,NA,NA,NA,320537.813,,NA,NA,NA,NA,2000.610492
