data_file,sample_notes,Amt_ug_L_Loganin,Amt_ug_L_Secologanin,Amt_ug_L_Strictosidine,Amt_ug_L_Tryptamine,Amt_uM_Loganin,Amt_uM_Secologanin,Amt_uM_Strictosidine,Amt_uM_Tryptamine
210927_TMET576_016.xms,96WP1232_A1,NA,NA,1351.268,180064.781,NA,NA,2.546823228,1123.859574
210927_TMET576_017.xms,96WP1232_A2,NA,NA,4203.014,146340.297,NA,NA,7.921695535,913.3709712
210927_TMET576_018.xms,96WP1232_A3,NA,NA,NA,144634.984,NA,NA,NA,902.7273998
210927_TMET576_019.xms,96WP1232_A4,586.062,NA,11989.688,131989.25,1.50126031,NA,22.59774959,823.8000874
210927_TMET576_020.xms,96WP1232_A5,1812.931,NA,17870.656,130796.781,4.644016087,NA,33.68199484,816.3573898
210927_TMET576_021.xms,96WP1232_A6,1108.206,NA,18164.1,125531.602,2.838787848,NA,34.23506795,783.4952066
210927_TMET576_022.xms,96WP1232_A7,3068.527,NA,23726.98,131414.891,7.860359137,NA,44.71979192,820.2152727
210927_TMET576_023.xms,96WP1232_A8,1047.717,NA,13133.544,120136.82,2.683838824,NA,24.75364985,749.8241168
210927_TMET576_024.xms,96WP1232_A9,505.469,NA,8124.02,145405.406,1.294812747,NA,15.31187214,907.5359256
210927_TMET576_025.xms,96WP1232_A10,1323.807,NA,19349.768,135602.531,3.391072801,NA,36.46977402,846.3520846
210927_TMET576_026.xms,96WP1232_A11,NA,NA,6304.957,123932.891,NA,NA,11.88336506,773.5169829
210927_TMET576_027.xms,96WP1232_A12,830.953,NA,8194.843,171504.641,2.128574722,NA,15.44535688,1070.432162
210927_TMET576_029.xms,96WP1232_B1,NA,NA,2072.159,174264.25,NA,NA,3.905533671,1087.656035
210927_TMET576_030.xms,96WP1232_B2,2006.207,NA,21627.064,133004.656,5.139113172,NA,40.76194282,830.1376607
210927_TMET576_031.xms,96WP1232_B3,NA,NA,219.671,153983.375,NA,NA,0.414028309,961.0746162
210927_TMET576_032.xms,96WP1232_B4,756.626,NA,9592.301,167695.531,1.938178185,NA,18.07923742,1046.657914
210927_TMET576_033.xms,96WP1232_B5,1834.7,NA,18937.893,159370.656,4.699779702,NA,35.69348625,994.698889
210927_TMET576_034.xms,96WP1232_B6,NA,NA,11456.751,125602.805,NA,NA,21.59328835,783.9396143
210927_TMET576_035.xms,96WP1232_B7,NA,NA,2962.671,138566.938,NA,NA,5.583939914,864.854188
210927_TMET576_036.xms,96WP1232_B8,604.292,NA,11936.224,118585.398,1.5479584,NA,22.49698249,740.1410436
210927_TMET576_037.xms,96WP1232_B9,818.454,NA,7327.538,157546.281,2.096557201,NA,13.81069039,983.312202
210927_TMET576_038.xms,96WP1232_B10,NA,NA,3891.841,131557.063,NA,NA,7.335207418,821.1026276
210927_TMET576_039.xms,96WP1232_B11,NA,NA,2260.724,132490.234,NA,NA,4.260934467,826.926938
210927_TMET576_040.xms,96WP1232_B12,NA,NA,2780.914,155122.875,NA,NA,5.241370601,968.186712
210927_TMET576_042.xms,96WP1232_C1,2320.724,NA,21403.49,179997.078,5.944782007,NA,40.34055827,1123.437012
210927_TMET576_043.xms,96WP1232_C2,1634.008,NA,18606.551,157014.891,4.185685742,NA,35.0689843,979.9955748
210927_TMET576_044.xms,96WP1232_C3,701.557,NA,11247.056,122992.156,1.797113069,NA,21.19806246,767.6454625
210927_TMET576_045.xms,96WP1232_C4,1805.218,NA,20896.813,135701.094,4.624258415,NA,39.38559097,846.9672575
210927_TMET576_046.xms,96WP1232_C5,NA,NA,7398.831,175320.344,NA,NA,13.94506097,1094.24756
210927_TMET576_047.xms,96WP1232_C6,3478.483,NA,23795.299,151006.359,8.910505149,NA,44.84855721,942.4938148
210927_TMET576_048.xms,96WP1232_C7,1934.875,NA,18890.627,133325.813,4.956388647,NA,35.60440093,832.1421358
210927_TMET576_049.xms,96WP1232_C8,618.251,NA,7822.33,180031.188,1.583715867,NA,14.74325725,1123.649906
210927_TMET576_050.xms,96WP1232_C9,747.186,NA,7755.757,168325.594,1.913996619,NA,14.61778276,1050.590401
210927_TMET576_051.xms,96WP1232_C10,NA,NA,7148.685,156237.672,NA,NA,13.47359444,975.1446261
210927_TMET576_052.xms,96WP1232_C11,NA,NA,405.126,132979.297,NA,NA,0.763567484,829.9793846
210927_TMET576_053.xms,96WP1232_C12,NA,NA,6425.294,155234.859,NA,NA,12.11017208,968.885651
210927_TMET576_055.xms,96WP1232_D1,NA,NA,1678.204,136844.406,NA,NA,3.163020902,854.1031457
210927_TMET576_056.xms,96WP1232_D2,NA,NA,173.332,161292.766,NA,NA,0.326690163,1006.695581
210927_TMET576_057.xms,96WP1232_D3,NA,NA,1446.73,129253.797,NA,NA,2.726746706,806.7269817
210927_TMET576_058.xms,96WP1232_D4,NA,NA,2825.888,142532.281,NA,NA,5.326136042,889.6035514
210927_TMET576_059.xms,96WP1232_D5,NA,NA,4919.897,140329.297,NA,NA,9.272851839,875.8538073
210927_TMET576_060.xms,96WP1232_D6,1570.59,NA,16308.004,149466.563,4.023233772,NA,30.73676235,932.8833042
210927_TMET576_061.xms,96WP1232_D7,NA,NA,779.53,127933.508,NA,NA,1.469231204,798.4865061
210927_TMET576_062.xms,96WP1232_D8,895.15,NA,14718.071,149554.172,2.293022184,NA,27.74011158,933.4301086
210927_TMET576_063.xms,96WP1232_D9,2754.123,NA,25303.959,124164.867,7.054979763,NA,47.69202744,774.9648421
210927_TMET576_064.xms,96WP1232_D10,2061.229,NA,16420.574,169631.797,5.280057892,NA,30.9489304,1058.74296
210927_TMET576_065.xms,96WP1232_D11,1367.913,NA,11180.392,148971.578,3.504055023,NA,21.07241646,929.7938959
210927_TMET576_066.xms,96WP1232_D12,NA,NA,NA,131864.797,NA,NA,NA,823.0233242
210927_TMET576_082.xms,96WP1232_E1,NA,NA,6235.827,144126.641,NA,NA,11.75307123,899.5546186
210927_TMET576_083.xms,96WP1232_E2,2149.477,NA,21652.459,148120.25,5.506114555,NA,40.80980643,924.4804019
210927_TMET576_084.xms,96WP1232_E3,NA,NA,8361.542,150749.25,NA,NA,15.75954539,940.88909
210927_TMET576_085.xms,96WP1232_E4,1111.791,NA,15818.342,105884.828,2.847971208,NA,29.81386433,660.8714767
210927_TMET576_086.xms,96WP1232_E5,1588.046,NA,19788.459,126903.047,4.067949178,NA,37.29660365,792.0549682
210927_TMET576_087.xms,96WP1232_E6,NA,NA,855.257,161076.75,NA,NA,1.611958837,1005.347335
210927_TMET576_088.xms,96WP1232_E7,NA,NA,7525.488,126738.172,NA,NA,14.18377971,791.0259144
210927_TMET576_089.xms,96WP1232_E8,NA,NA,280.837,124057.078,NA,NA,0.529311872,774.2920859
210927_TMET576_090.xms,96WP1232_E9,NA,NA,2220.377,160917.391,NA,NA,4.184889835,1004.352709
210927_TMET576_091.xms,96WP1232_E10,NA,NA,1852.855,154055.953,NA,NA,3.492197071,961.5276058
210927_TMET576_092.xms,96WP1232_E11,NA,NA,253.3,124382.531,NA,NA,0.477411086,776.3233741
210927_TMET576_093.xms,96WP1232_E12,1452.954,NA,14692.647,147387.031,3.721896614,NA,27.6921933,919.9040756
210927_TMET576_095.xms,96WP1232_F1,NA,NA,899,189289,NA,NA,1.694404131,1181.431781
210927_TMET576_096.xms,96WP1232_F2,NA,NA,NA,88449,NA,NA,NA,552.0471851
210927_TMET576_097.xms,96WP1232_F3,NA,NA,NA,145539.609,NA,NA,NA,908.3735426
210927_TMET576_098.xms,96WP1232_F4,NA,NA,NA,143829.688,NA,NA,NA,897.7012108
210927_TMET576_099.xms,96WP1232_F5,NA,NA,107.27,113447.586,NA,NA,0.202178789,708.073811
210927_TMET576_100.xms,96WP1232_F6,NA,NA,6.789,131149.531,NA,NA,0.012795673,818.5590501
210927_TMET576_101.xms,96WP1232_F7,NA,NA,592.422,171384.969,NA,NA,1.116576512,1069.685239
210927_TMET576_102.xms,96WP1232_F8,NA,NA,144.471,152666.063,NA,NA,0.272293948,952.8527213
210927_TMET576_103.xms,96WP1232_F9,NA,NA,273.871,168930.625,NA,NA,0.516182596,1054.366652
210927_TMET576_104.xms,96WP1232_F10,NA,NA,688.332,177576.953,NA,NA,1.297344365,1108.332
210927_TMET576_105.xms,96WP1232_F11,NA,NA,49.686,148322.344,NA,NA,0.093646456,925.7417551
210927_TMET576_106.xms,96WP1232_F12,NA,NA,NA,147390.797,NA,NA,NA,919.9275808
210927_TMET576_108.xms,96WP1232_G1,NA,NA,NA,198171,NA,NA,NA,1236.868056
210927_TMET576_109.xms,96WP1232_G2,NA,NA,129.308,233428.625,NA,NA,0.24371525,1456.925634
210927_TMET576_110.xms,96WP1232_G3,NA,NA,NA,211609.719,NA,NA,NA,1320.74472
210927_TMET576_111.xms,96WP1232_G4,NA,NA,NA,186587.766,NA,NA,NA,1164.572251
210927_TMET576_112.xms,96WP1232_G5,NA,NA,NA,184884.563,NA,NA,NA,1153.941849
210927_TMET576_113.xms,96WP1232_G6,508.444,NA,3369.23,221410.609,1.302433526,NA,6.350208267,1381.916172
210927_TMET576_114.xms,96WP1232_G7,NA,NA,1208.198,190688.625,NA,NA,2.277169836,1190.167426
210927_TMET576_115.xms,96WP1232_G8,869.171,NA,7873.846,199383.031,2.226474205,NA,14.84035283,1244.432849
210927_TMET576_116.xms,96WP1232_G9,NA,NA,7057.38,192394.984,NA,NA,13.30150593,1200.817526
210927_TMET576_117.xms,96WP1232_H7,904.767,NA,13915.498,148983.953,2.317657155,NA,26.22744972,929.8711334
210927_TMET576_118.xms,96WP1232_H8,1186.121,NA,16399.268,137948.813,3.038375429,NA,30.90877358,860.9962115
210927_TMET576_119.xms,96WP1232_H9,1267.036,NA,17303.23,132422.063,3.24564783,NA,32.61252992,826.5014543
210927_TMET576_120.xms,96WP1232_H10,1043.776,NA,12050.107,119852.172,2.673743532,NA,22.71162523,748.0475097
210927_TMET576_121.xms,96WP1232_H11,6348.183,NA,29135.396,141877.813,16.26154772,NA,54.91338749,885.518743
210927_TMET576_122.xms,96WP1232_H12,NA,NA,NA,138742.094,NA,NA,NA,865.9474098
