data_file,sample_notes,Amt_ug_L_Loganic acid,Amt_ug_L_Loganin,Amt_ug_L_Secologanin,Amt_ug_L_Strictosidine,Amt_ug_L_Tryptamine,,Amt_uM_Loganic acid,Amt_uM_Loganin,Amt_uM_Secologanin,Amt_uM_Strictosidine,Amt_uM_Tryptamine
210519_TMET517_018.xms,96WP1056_A01,NA,NA,NA,143.89,146892.391,,NA,NA,NA,0.271198899,916.8168206
210519_TMET517_019.xms,96WP1056_A02,NA,NA,NA,39.852,160741.781,,NA,NA,NA,0.075111672,1003.256653
210519_TMET517_020.xms,96WP1056_A03,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA
210519_TMET517_021.xms,96WP1056_A04,NA,NA,NA,29.985,135912.563,,NA,NA,NA,0.056514692,848.287124
210519_TMET517_022.xms,96WP1056_A05,NA,NA,NA,NA,127009.57,,NA,NA,NA,NA,792.7198227
210519_TMET517_023.xms,96WP1056_A06,NA,NA,NA,167.643,169995.156,,NA,NA,NA,0.315967733,1061.010835
210519_TMET517_024.xms,96WP1056_A07,NA,NA,NA,145.128,121216.961,,NA,NA,NA,0.273532239,756.5657284
210519_TMET517_025.xms,96WP1056_A08,NA,NA,NA,33.09,101142.195,,NA,NA,NA,0.062366888,631.2707215
210519_TMET517_026.xms,96WP1056_A09,NA,NA,NA,NA,110753.844,,NA,NA,NA,NA,691.2610411
210519_TMET517_027.xms,96WP1056_A10,NA,NA,NA,NA,194969.5,,NA,NA,NA,NA,1216.886157
210519_TMET517_028.xms,96WP1056_A11,NA,NA,NA,NA,108959.414,,NA,NA,NA,NA,680.0612533
210519_TMET517_029.xms,96WP1056_A12,NA,NA,NA,NA,120865.781,,NA,NA,NA,NA,754.3738672
210519_TMET517_031.xms,96WP1056_B01,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA
210519_TMET517_032.xms,96WP1056_B02,NA,NA,NA,37.856,214097.578,,NA,NA,NA,0.071349681,1336.272488
210519_TMET517_033.xms,96WP1056_B03,NA,NA,NA,NA,147497.766,,NA,NA,NA,NA,920.5952191
210519_TMET517_034.xms,96WP1056_B04,NA,NA,NA,NA,134749.969,,NA,NA,NA,NA,841.0308888
210519_TMET517_035.xms,96WP1056_B05,NA,NA,NA,NA,107711.281,,NA,NA,NA,NA,672.2711334
210519_TMET517_036.xms,96WP1056_B06,NA,NA,NA,NA,117200.766,,NA,NA,NA,NA,731.4989764
210519_TMET517_037.xms,96WP1056_B07,NA,NA,NA,NA,186259.391,,NA,NA,NA,NA,1162.522725
210519_TMET517_038.xms,96WP1056_B08,NA,NA,NA,NA,224655.375,,NA,NA,NA,NA,1402.168113
210519_TMET517_039.xms,96WP1056_B09,NA,NA,NA,NA,183887.922,,NA,NA,NA,NA,1147.721396
210519_TMET517_040.xms,96WP1056_B10,NA,NA,NA,NA,109166.766,,NA,NA,NA,NA,681.3554238
210519_TMET517_041.xms,96WP1056_B11,NA,NA,NA,40.846,196047.203,,NA,NA,NA,0.076985129,1223.612551
210519_TMET517_042.xms,96WP1056_B12,NA,NA,NA,139.931,180885.219,,NA,NA,NA,0.263737113,1128.980271
210519_TMET517_044.xms,96WP1056_C01,NA,NA,NA,79.387,136696.422,,NA,NA,NA,0.149625874,853.1795157
